Employee,Department,Shift,PT or FT,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Person41,Meat,3rd Shift,PT,1400-2300,0.0,1400-2300,1400-2300,1400-2300,0.0,0.0
Person42,Meat,1st Shift,PT,0600 - 1500,0600 - 1500,0.0,0600 - 1500,0600 - 1500,0.0,0.0
Person43,Meat,2nd Shift,FT,1200 - 2100,1200 - 2100,1200 - 2100,1200 - 2100,0.0,1200 - 2100,0.0
Person44,Meat,3rd Shift,PT,1400-2300,1400-2300,1400-2300,0.0,1400-2300,0.0,0.0
Person45,Meat,2nd Shift,FT,1200 - 2100,1200 - 2100,1200 - 2100,1200 - 2100,0.0,1200 - 2100,0.0
Person46,Meat,2nd Shift,PT,1200 - 2100,1200 - 2100,1200 - 2100,0.0,1200 - 2100,0.0,0.0
Person47,Meat,1st Shift,FT,0600 - 1500,0600 - 1500,0600 - 1500,0.0,0600 - 1500,0600 - 1500,0.0
Person48,Customer Service,2nd Shift,PT,1200 - 2100,1200 - 2100,1200 - 2100,1200 - 2100,0.0,0.0,0.0
Person49,Customer Service,2nd Shift,FT,1200 - 2100,0.0,1200 - 2100,1200 - 2100,1200 - 2100,1200 - 2100,0.0
Person50,Meat,3rd Shift,FT,0.0,1400-2300,1400-2300,1400-2300,1400-2300,1400-2300,0.0
